	mean_fit_time	mean_score_time	mean_test_score	mean_train_score	param_C	param_gamma	param_kernel	params	rank_test_score	split0_test_score	split0_train_score	split1_test_score	split1_train_score	split2_test_score	split2_train_score	std_fit_time	std_score_time	std_test_score	std_train_score
0	45.464361826578774	10.361555576324463	0.722818254603683	0.7580460526685192	1	0.01	linear	{'gamma': 0.01, 'C': 1, 'kernel': 'linear'}	7	0.7286263208453411	0.7576267115061254	0.7221421709894332	0.7536632236368004	0.7176838058625661	0.7628482228626321	0.9390606341890431	0.10169760673676864	0.004492598302280549	0.0037614658448084396
1	31.471283038457234	13.987571001052856	0.7255404323458767	0.7645315966427016	1	0.01	rbf	{'gamma': 0.01, 'C': 1, 'kernel': 'rbf'}	6	0.7322286263208453	0.7614700936824406	0.7221421709894332	0.7672351669469133	0.7222489187890437	0.7648895292987512	0.3758377857985636	0.11501007032255413	0.0047300360372674235	0.0023671507874636357
2	45.15358885129293	10.32845671971639	0.722818254603683	0.7580460526685192	1	0.05	linear	{'gamma': 0.05, 'C': 1, 'kernel': 'linear'}	7	0.7286263208453411	0.7576267115061254	0.7221421709894332	0.7536632236368004	0.7176838058625661	0.7628482228626321	0.9074758812672143	0.11834098757083292	0.004492598302280549	0.0037614658448084396
3	35.432551781336464	16.07363971074422	0.7587670136108887	0.9467173668063246	1	0.05	rbf	{'gamma': 0.05, 'C': 1, 'kernel': 'rbf'}	4	0.7629682997118156	0.9470333893826567	0.7622478386167147	0.9463127552245977	0.751081210956271	0.9468059558117194	0.23494825078543136	0.07484676437944869	0.0054413343510326265	0.0003007927374433425
4	45.216411431630455	10.331113258997599	0.722818254603683	0.7580460526685192	1	0.1	linear	{'gamma': 0.1, 'C': 1, 'kernel': 'linear'}	7	0.7286263208453411	0.7576267115061254	0.7221421709894332	0.7536632236368004	0.7176838058625661	0.7628482228626321	0.9057111125219588	0.12517621962626002	0.004492598302280549	0.0037614658448084396
5	52.37373272577921	17.95788375536601	0.767013610888711	0.992914494822687	1	0.1	rbf	{'gamma': 0.1, 'C': 1, 'kernel': 'rbf'}	2	0.771133525456292	0.9959164064376651	0.7696926032660903	0.9919529185683401	0.7602114368092263	0.9908741594620557	0.7518246225082789	0.09390672028878881	0.004844561125543847	0.0021678768892556812
6	178.8364691734314	10.244287649790445	0.7225780624499599	0.7578461264933315	10	0.01	linear	{'gamma': 0.01, 'C': 10, 'kernel': 'linear'}	10	0.7286263208453411	0.7584674513571943	0.723583093179635	0.7553447033389382	0.7155213839500241	0.7597262247838616	8.63418783989169	0.11887217914308996	0.005396860185598834	0.0018419131327547579
7	32.87238391240438	13.933963457743326	0.7541232986389111	0.9290630606038021	10	0.01	rbf	{'gamma': 0.01, 'C': 10, 'kernel': 'rbf'}	5	0.7562439961575408	0.9287773240451598	0.7591258405379443	0.926975738650012	0.7469966362325805	0.9314361191162344	0.4022150126775019	0.10883726136422237	0.005173669307312004	0.0018321176293336935
8	178.84046490987143	10.233622709910074	0.7225780624499599	0.7578461264933315	10	0.05	linear	{'gamma': 0.05, 'C': 10, 'kernel': 'linear'}	10	0.7286263208453411	0.7584674513571943	0.723583093179635	0.7553447033389382	0.7155213839500241	0.7597262247838616	8.628199785049473	0.12646633372104987	0.005396860185598834	0.0018419131327547579
9	74.68409339586894	16.984883228937786	0.7648518815052041	0.9973579535774383	10	0.05	rbf	{'gamma': 0.05, 'C': 10, 'kernel': 'rbf'}	3	0.7718539865513929	0.9989190487629114	0.7689721421709894	0.9966370405957242	0.7537241710716002	0.9965177713736791	1.8819274716204417	0.175466671896101	0.007954094876640174	0.0011049343631825228
10	178.85076665878296	10.243269046147665	0.7225780624499599	0.7578461264933315	10	0.1	linear	{'gamma': 0.1, 'C': 10, 'kernel': 'linear'}	10	0.7286263208453411	0.7584674513571943	0.723583093179635	0.7553447033389382	0.7155213839500241	0.7597262247838616	8.640156185700189	0.11835487080657878	0.005396860185598834	0.0018419131327547579
11	81.08365670839946	17.770604530970257	0.7682145716573259	0.9973579535774383	10	0.1	rbf	{'gamma': 0.1, 'C': 10, 'kernel': 'rbf'}	1	0.7720941402497599	0.9989190487629114	0.7732949087415946	0.9966370405957242	0.7592503604036521	0.9965177713736791	2.0604541037850876	0.15849222106934582	0.006356067150732743	0.0011049343631825228
